Date,Cash Flow,Revenue/Sales,Total Income,Tax,Net Profit,Accounts Receivable,Accounts Payable,Total Expenditure,Interest,GDP Growth,Inflation/Interest Rate,Expenses,Cap. Expenditure,Seasonality,Client Payment Trends,EBIT
01-01-2020,1.975341288,326.0498288,609.9033155,12.38152965,33.25549134,119.8685661,27.48357077,132.4821725,0.973753954,0.022692292,0.021635484,110.8734913,657.0370165,0.862188769,36.96147632,130.920512
02-01-2020,-2.080411754,265.2345549,538.6950524,11.55343716,30.97645913,94.46942795,24.30867849,185.5481329,1.811691991,0.033039424,0.021520786,149.5255333,144.4638075,1.037520404,22.56484051,197.503721
03-01-2020,-43.53636165,269.2209798,408.9445555,13.32142095,31.63731095,125.9075415,28.23844269,120.7580079,2.169115573,0.034741347,0.018354867,124.6351853,642.94913,0.880648115,28.82570624,201.44135
04-01-2020,42.83898307,278.1704022,302.9594833,8.779421653,28.60340047,160.9211943,32.61514928,169.203847,4.010150126,0.03296411,0.015901565,156.1603345,453.2551884,1.069619157,31.5847024,237.810428
04-01-2020,31.19623201,227.7099831,504.733497,11.37077406,28.97217886,90.63386501,23.82923313,10.6385333,2.9452425,0.020970548,0.023520346,182.8679751,641.4915422,0.990672882,22.41374784,90.6513309
06-01-2020,11.54346899,273.0362565,459.0228078,11.81249641,28.44988839,90.63452172,23.82931522,221.3293707,1.431614745,0.029442358,0.017287837,266.9723589,655.3863385,0.858814889,33.10820589,247.405382
07-01-2020,16.12521819,272.5919799,534.278983,10.97782098,27.56312562,163.1685126,32.89606408,200.1205475,2.888829032,0.031704769,0.015651204,174.3072769,821.5830122,0.723975437,44.46599861,-16.351331
10-01-2020,1.749579724,274.868657,495.2757703,12.19095851,31.55668074,130.6973892,28.83717365,118.2911369,1.262156809,0.032088381,0.020829799,73.14994346,770.6907295,0.990175106,26.56702304,149.609236
14-01-2020,8.561943536,197.2778177,557.4329073,11.71315298,32.27626649,81.22102456,22.65262807,265.9245668,3.366152843,0.028216386,0.022870261,291.2054277,769.3143325,1.029342715,27.47179349,160.938093
17-01-2020,40.67544694,218.007947,319.7147183,11.82902411,27.28363628,121.7024017,27.71280022,293.7570138,2.123100279,0.031539903,0.018536699,133.0327893,788.7340638,0.905217826,22.08473314,250.666146
18-01-2020,37.709371,288.3756141,597.6091098,12.86433582,30.57831493,81.46329229,22.68291154,39.24401356,2.425091049,0.034177158,0.018871419,195.3023658,558.275797,0.836487572,34.75806371,201.810468
19-01-2020,56.48011905,245.4303522,429.6399407,11.86533215,30.04607284,81.37080986,22.67135123,123.7275221,3.560637318,0.030770971,0.023272081,235.7229206,506.4370174,1.007971342,28.76461864,87.5549557
19-01-2020,-15.4594946,266.4917727,711.2891309,12.25358288,29.60069083,109.6784909,26.20981136,123.085765,1.470269145,0.028648098,0.015274647,215.9688335,674.5634166,1.236964923,35.22442003,121.20055
21-01-2020,0.840714241,249.7598073,296.6218273,12.74261831,28.49027238,23.46879021,15.43359878,106.0096899,1.382305452,0.033530684,0.015677592,287.5343638,646.4161903,0.991134708,33.26224382,215.894401
21-01-2020,6.166462186,268.4351286,660.3945705,13.0860424,31.37174945,31.0032867,16.37541084,282.9474842,2.033120539,0.02361439,0.017225746,238.3202515,438.1867527,0.843954905,32.1156116,193.674613
22-01-2020,1.458539132,235.7085309,429.6866175,9.617089482,28.21901485,77.50849883,22.18856235,180.6173861,3.330703081,0.038766012,0.022358499,131.0952336,580.9646818,1.147357046,30.71191163,153.670071
23-01-2020,16.30738671,240.7572644,302.2872995,10.26006095,28.71786699,59.48675519,19.9358444,173.5485159,1.28452314,0.031124979,0.022501188,374.2849739,492.9807066,0.913084064,30.50030545,161.533297
24-01-2020,2.271391265,316.0147839,327.4171249,10.20325833,30.24862088,112.5698933,26.57123666,-0.386236441,0.234275522,0.037817705,0.021876956,215.5466771,329.2134183,1.084865835,33.14246708,255.69344
24-01-2020,25.23046183,275.8260761,351.9479038,10.38518457,26.62663917,63.67903698,20.45987962,263.541803,2.139072913,0.040831945,0.017721235,188.2127819,758.0921483,1.053106795,28.9453419,158.584594
24-01-2020,-13.06334375,262.0682927,463.624892,9.261309597,30.78377493,43.50785195,17.93848149,76.07416051,2.94139264,0.030043452,0.01911298,277.1140338,511.0398485,0.954151073,26.15453585,192.9527
26-01-2020,-35.90308145,244.1826704,478.4253232,10.31621882,30.97277504,158.6259508,32.32824384,205.993263,3.4602094,0.028560807,0.020897219,219.9560757,909.7416515,0.899809773,29.43007576,373.594927
27-01-2020,-25.38335535,295.0952259,313.9449994,11.42912765,39.25774221,90.96894798,23.8711185,227.7376938,2.12947091,0.030681182,0.01589993,231.9382554,174.901546,1.007431163,30.76523174,86.105389
31-01-2020,10.40967835,252.4919321,396.3468112,11.43157682,27.05723774,102.7011282,25.33764102,336.0658596,2.170858714,0.028595561,0.021264795,399.3747199,388.6442454,0.988783208,36.83748014,51.8525815
31-01-2020,-39.12678491,277.9398304,721.3405538,11.54226838,29.5340633,43.01007255,17.87625907,69.11796009,3.423120587,0.027170914,0.022078944,177.9902857,506.5277673,1.004843247,32.25344187,262.687173
31-01-2020,5.60580911,268.4005133,659.1314755,11.25957411,26.39287884,78.22469102,22.27808638,-101.9512156,1.00420664,0.025690672,0.018499794,174.5791285,727.4762195,1.174448993,34.51643734,145.708555
02-02-2020,2.83312311,253.4992736,465.4485505,12.08846587,25.45750753,104.4369036,25.55461295,218.3849545,2.18918338,0.030831273,0.021658795,209.326281,579.8938745,0.907487313,32.66958116,174.540998
03-02-2020,34.79432087,247.1953667,405.7005217,10.35762104,27.11736174,53.9602569,19.24503211,380.0511182,2.652339112,0.036743872,0.016378636,285.7212748,562.0945508,0.812185474,35.90606186,137.50749
03-02-2020,12.39357966,310.4166915,418.004699,11.84257151,26.03467495,115.0279207,26.87849009,323.8946353,2.859374977,0.031978152,0.014699776,79.47727758,274.5472415,0.854857049,39.43637165,179.215989
06-02-2020,7.400036191,291.6210604,492.0276959,11.8397242,25.98616436,75.9744524,21.99680655,220.9659415,2.092154645,0.026863574,0.022068683,42.75552868,268.6117206,0.949813403,29.02713838,327.883049
09-02-2020,33.15370029,274.2701784,246.5811152,10.7537279,30.00236012,88.33225001,23.54153125,150.8363814,2.527552809,0.029334218,0.01663516,153.0307784,564.5009321,1.051878892,33.56168153,264.170277
10-02-2020,-44.0063019,245.708476,361.3935194,11.27192948,31.22149222,75.93173551,21.99146694,280.7122597,0.509338117,0.02990059,0.016454623,69.28616328,227.1788012,1.030720241,34.65066945,268.977881
11-02-2020,20.65698806,306.5353994,149.7123889,12.16021262,25.36641067,174.0911274,34.26139092,102.64538,1.97340127,0.025471202,0.024693905,166.0134922,393.6244499,1.088701718,25.3983874,86.7018355
12-02-2020,21.47877434,250.4487543,459.8834684,10.96937933,27.38442431,99.46011101,24.93251388,247.6357769,2.86280697,0.031171585,0.015378765,240.1999757,600.1834658,1.027264501,23.90349914,107.907701
18-02-2020,-3.844230642,270.6642081,497.079391,9.169512577,30.11405027,57.69156284,19.71144536,250.5470159,1.714164773,0.026839973,0.022544189,128.7400909,303.5351455,1.127792626,30.03954779,-27.126293
19-02-2020,36.7852023,236.0857765,327.5220307,11.60682218,36.71568016,132.9017965,29.11272456,306.0209907,2.547187377,0.031392369,0.019950337,85.85387386,821.0711925,0.790468059,33.76634827,135.249534
20-02-2020,45.15803375,248.2954765,636.0980145,11.44127306,29.54125321,51.166254,18.89578175,475.9660039,2.857498001,0.026625641,0.021035804,205.5469729,744.7872688,0.929475728,28.50020313,276.536255
20-02-2020,-13.5368107,258.690583,216.1351505,10.64565745,34.00184298,108.3545438,26.04431798,239.2415967,2.225960639,0.033867098,0.020603518,269.0034788,185.7160003,0.985737254,30.93118491,241.355721
22-02-2020,21.36435805,207.5562564,180.343768,11.5839681,30.29863491,21.61319504,15.20164938,149.1036374,2.636371017,0.039611279,0.02103586,64.40212492,313.5257514,0.907906967,33.29653943,182.278939
23-02-2020,29.76569818,257.1987263,433.6677728,9.932507517,26.93302358,46.87255804,18.35906976,197.4425688,1.729813948,0.032110221,0.020291834,265.6185919,42.8445511,1.150561128,34.2637897,198.215977
23-02-2020,10.61166168,255.2744065,557.0647454,10.01176164,30.33152984,107.8744494,25.98430618,23.09240951,2.334710976,0.032721607,0.014261799,265.3844963,343.4817275,0.940912084,27.97396383,144.889157
23-02-2020,-17.86074582,295.1642168,652.5891537,10.44477813,33.85542421,129.5386632,28.6923329,130.5286869,2.988172936,0.029455393,0.019160138,276.3268082,653.2776953,0.859533119,30.53887337,216.380711
26-02-2020,11.97901578,246.4292592,331.1673606,10.32969456,31.04623307,106.8547312,25.85684141,159.0717562,2.625578369,0.037455247,0.014098856,297.4784172,417.2210115,0.918447054,26.2121592,261.270262
26-02-2020,-11.57402441,318.8520426,561.802125,9.943608095,29.36822489,95.3740687,24.42175859,147.5911602,2.030774984,0.029339609,0.022373993,376.161114,592.1594487,1.020073819,24.64843974,70.729057
27-02-2020,50.03158292,327.1236909,394.2237296,11.69764505,31.65642705,87.95585218,23.49448152,215.2354872,2.679373123,0.029472472,0.020382748,171.5126361,195.5331363,1.04654599,29.19401828,223.971815
29-02-2020,8.041879787,261.2529449,374.105905,11.87422019,34.49832228,40.85912039,17.60739005,117.7580068,3.071687833,0.033809208,0.013531844,208.7657264,659.5950509,1.075207124,28.54374032,274.59479
02-03-2020,15.27832257,212.4165683,532.5489906,9.998026314,30.17789582,71.20623166,21.40077896,312.1030667,0.860046977,0.025455248,0.019213487,166.6849253,388.9781544,1.022259009,33.24502719,166.791977
03-03-2020,10.98654632,283.0025604,497.8484318,11.33308097,26.87221338,81.57444916,22.69680615,200.0207065,3.427259252,0.030110125,0.024109372,200.1581476,502.4339365,1.126032894,29.81974468,256.056049
05-03-2020,-7.35418354,271.5754799,163.5411765,10.2094788,32.06929615,142.284889,30.28561113,199.0699679,2.230996209,0.024582236,0.020423157,322.6298685,481.4250997,1.024912047,31.49280626,425.172356
06-03-2020,26.40137239,284.0711333,621.4810525,10.86219911,26.89077687,113.7447316,26.71809145,167.2105283,2.840391947,0.022761113,0.016708057,92.39884129,245.6902958,0.954609273,34.70110759,191.652577
06-03-2020,14.13389029,228.9720416,607.0137031,9.48993812,29.31631519,29.47839379,16.18479922,215.5190684,3.457797539,0.017435707,0.018525123,131.1160262,269.3831337,0.964226906,25.85083524,231.464564
06-03-2020,37.24424369,275.0567717,306.1655948,11.25397384,28.07018924,112.9633588,26.62041985,282.5098265,1.402661042,0.040285552,0.018629808,310.1744749,693.5588938,0.898813255,30.47329601,140.955433
06-03-2020,-35.92661368,250.6864314,459.37053,11.70714886,28.65974029,84.59670878,23.0745886,113.2869784,1.932447198,0.034545417,0.026558003,281.6029206,579.7984315,0.909900402,24.75330082,214.500093
10-03-2020,-22.08629559,281.2090084,474.1045279,10.03866555,28.2951612,72.92311999,21.61539,134.1883511,2.269161043,0.030582056,0.021132662,170.9494683,710.0098083,1.129142056,33.8280279,236.82173
13-03-2020,33.00221651,224.0559638,439.1010649,10.45983526,24.97042163,124.4670516,28.05838144,169.6273971,1.872997183,0.036494235,0.021877263,268.3521601,564.9316471,1.078993078,30.66581804,215.587387
14-03-2020,9.782465627,242.9426359,317.4542269,11.16581351,27.73117192,141.2399809,30.15499761,65.41290765,3.887949261,0.021903733,0.016535294,227.2972674,528.598127,1.013706978,23.4721222,118.424374
16-03-2020,3.857167293,266.4152012,299.2564948,11.27168529,28.84920246,137.2512048,29.6564006,118.074214,1.814582325,0.026431753,0.020451246,320.0219687,154.7978763,1.01729855,32.87363548,216.508942
17-03-2020,-17.37930721,256.4543911,396.1668894,11.67895457,29.05689447,66.43129907,20.80391238,152.3779126,2.055562576,0.029817881,0.020523757,205.9607675,445.9266606,0.95616223,30.80047225,316.975675
18-03-2020,18.08861876,275.2793338,575.9093529,11.27629886,26.59028641,87.63150497,23.45393812,287.4389181,2.663511225,0.025770212,0.023922802,282.0505691,494.5231359,1.069242185,25.3334998,235.890861
21-03-2020,11.10676624,277.6426394,481.5400232,9.826352999,29.10503287,113.2505373,26.65631716,226.2561329,1.538280379,0.03091004,0.017082573,411.3609528,890.6214397,0.933538223,34.01965133,276.958975
26-03-2020,-20.91231952,219.5296193,344.4078502,10.5286177,31.10264669,139.0218051,29.87772564,219.3589911,2.183455431,0.037585177,0.016957902,247.8479324,637.3913264,1.110353747,32.38667488,181.039042
26-03-2020,7.550868661,288.8225422,515.7548066,11.55124149,31.5404401,80.83303049,22.60412881,285.0897962,2.753962609,0.036227039,0.020621226,203.9462533,807.2122363,0.91166816,37.3089395,259.992019
